,x,y,leiden,QC
681,5345.088608,13060.5,4,cell
682,5446.187726,13062.40433,28,cell
683,6291.756098,13058.54878,16,cell
684,5272.682927,13067.01742,4,cell
685,5486.253968,13061.27778,5,cell
686,5556.881481,13060.85185,4,cell
687,5216.286885,13063.05738,23,cell
688,5955.318436,13064.83799,24,cell
689,6001.626016,13062.54472,3,cell
690,5423.382514,13065.10383,3,cell
691,5313.150171,13070.13311,23,cell
692,5381.5,13065.43077,4,cell
693,6346.038961,13065.62338,12,cell
694,5347.609929,13074.17021,4,cell
695,5921.267516,13075.61146,3,cell
696,6283.6125,13079.55,5,cell
697,5745.740864,13084.78073,4,cell
698,5138.641667,13078.00833,1,cell
699,5481.66474,13078.53757,4,cell
700,5953.05988,13081.0,24,cell
701,5972.355705,13081.22148,24,cell
702,6111.319149,13078.29787,16,cell
703,5417.968254,13085.42857,20,cell
704,5446.294118,13086.16667,4,cell
705,5994.757732,13087.92784,24,cell
706,5269.718121,13089.51678,4,cell
707,5573.414634,13089.29878,4,cell
708,5474.875556,13090.68889,4,cell
709,5940.178571,13092.57857,24,cell
710,5988.321839,13096.16667,24,cell
711,5130.805882,13099.82941,20,cell
712,5918.83,13099.03,24,cell
713,5580.390805,13104.46743,4,cell
714,5980.926702,13104.95812,24,cell
715,5762.607843,13101.85294,23,cell
716,5858.487805,13104.56098,23,cell
717,5091.046512,13105.03488,3,cell
718,5960.239669,13106.39669,24,cell
719,5269.051852,13108.51111,23,cell
720,5192.313559,13113.55932,12,cell
721,5969.306061,13117.59091,24,cell
722,5127.889764,13112.75591,4,cell
723,5592.020134,13112.73154,28,cell
724,5916.856322,13117.29885,24,cell
725,6057.992537,13115.35821,12,cell
726,5509.950704,13116.26056,7,cell
727,5936.823529,13119.20814,24,cell
728,5951.256,13118.64,24,cell
729,5286.559322,13115.0678,4,cell
730,5983.389937,13118.33333,24,cell
731,5330.148936,13121.21277,4,cell
732,5556.530864,13118.20988,23,cell
733,5240.961039,13120.87013,4,cell
734,5437.18232,13120.9779,4,cell
735,5531.28866,13122.21649,4,cell
736,5752.428571,13125.96703,4,cell
